category,text
humanInterest,"lennoxville elementary school s mixed age class has been busy this spring planning preparing and planting the beds of a new community garden. we ve got strawberries ground cherries lemon cucumbers carrots potatoes and beets said kari bryan one of the students involved with the project naming just a few of the plants now growing in the school garden. everything was basically planted two weeks ago. bryan joined by classmates lyana rodgers sienna ballard and michael henderson explained that the garden as it appears today is the product of months of work and preparation. we started in the winter henderson said with rodgers explaining that we separated into groups and all had certain jobs we had to do. where some groups discussed what would be best to plant others talked about how to arrange the different plots and maintain the garden """
health,"states north srinagar jun 1 uni the jammu and kashmir government on tuesday directed private laboratories not to charge more than rs 400 for rt pcr test for covid 19 in the union territory. in this regard an order was issued here by the department of health and medical education which stated that in exercise of the powers conferred by section 2 of the epidemic diseases act 1897 3 of 1897 and in partial modification of notification 337 dated 29th october 2020 the j k lieutenant governor hereby directs that no private laboratory shall charge any amount more than rs 400 for rt pcr test for covid 19 inclusive of gst taxes if any cost involved in pickup packing and transportation of samples documentation and reporting in the union territory. as many as 1525 new cases of the novel coronavirus including 525 from jammu division and 1000 from kashmir division were reported on monday. meanwhile 37 deaths were reported 20 from jammu division and 17 from kashmir division on monday in the union abs shk2005 . srinagar jun 1 uni the jammu and kashmir government on tuesday directed private laboratories not to charge more than rs 400 for rt pcr test for covid 19 in the union territory. lucknow jun 1 uni uttar pradesh government has extended the last date for opening the technical bids of global tender for procuring 4 crore covid 19 vaccine to june 10. lucknow jun 1 uni uttar pradesh chief minister on tuesday launched the vaccination drive mission june to target one crore doses. lucknow jun 1 uni though the number of fresh covid cases in uttar pradesh gone down but the casualty rate continued to be high of around 12 per cent. 01 jun 2021 7 48 pm. """
other,"samer mezghani chief operations officer security services specialists 3s with a person displaying iwalker at the booth. milipol qatar 2021 has given many companies opportunity to launch innovative product in qatari market. utilising this opportunity security services specialists 3s has introduced iwalker which is wearable digital signage technology that can run through malls shopping areas or stadiums by placing the device on person s shoulder. speaking to the peninsula on the sidelines of the opening of milipol qatar 2021. samer mezghani chief operations officer security services specialists 3s said this system is introduced first time in qatari market. iwalkers the digital movable media device is developed by scottish technology company nomadix and has developed a background solution. the idea behind is to have a movable media device with screen speakers microphone camera gps 4g wifi bluetooth. as system integrator any kind of solution can be developed that will be suitable with the device. the concept behind the device is to reach where other devices cannot reach which is through the crowds. the person who carries this unit can move easily between people display advertise and interact with them. the communication and discussions can be made with the people around as the iwalker is not just another screen on the wall he added. he pointed iwalkers system uses video feed from the camera for facial recognition mask detection to count people and classification of gender and age group and it records how many male and females have watched the display. on first day of milipol qatar 2021 the product was launched and lot of people took pictures and tried it as the device has caused a lot of interest in the market. mukesh bharti business development manager security services specialists 3s said on the opening day of milipol qatar 2021 our new product called iwalker was launched. it is a digital signage kind of thing where a person can hold this particular device or display on their shoulders and run through malls shopping areas or stadiums. the device can give multiple applications that is any live feed can be uploaded to it. it can be used to promote new brands for number of face recognitions and to find how many people are without mask. so it is a customized kind of thing he added. he said this product is launched for first time in qatar. it can be used for many things like for example any missing child information can be displayed on the screen any incident that happened which the cctv camera was not able to locate can be displayed through the live feed. it has wifi 4g 5g connectivity and whatever application you want to you can run through it. once the unit is charged it can work up to 6 hours with a backup of another battery. the overall weight for the device is almost 6 kg so it is wearable. security services specialists 3s is a subsidiary of midmac contracting company. established in 2013 by a team of security systems experienced it engineers the company s consistent growth can be attributed to its dynamic management and constant endeavor to anticipate customers requirements and provide the best customer satisfaction. qp joins world bank in global fight against routine flaring. qatar petroleum qp announced yesterday that it has joined the world bank led global gas flaring reduction partnership ggfr multi donor trust fund as part of its commitment to stronger collaborations in the global effort to reduce flaring or burning of natural gas associated with oil gas exploration production and processing operations. huawei creates over 1000 jobs in 3 years in qatar. qatar along with the gcc region is leading in 5g deployment and huawei is committed to support 5g development in the country and the region. qiib position as leading bank enhanced sheikh dr. khalid. qatar international islamic bank qiib has maintained stable growth and achieved the best returns for shareholders and best services and benefits for customers said sheikh dr. khalid bin thani bin abdullah al thani chairman of the board and managing director qiib. he was addressing the annual general assembly meeting which was held """
economy,"calgary alberta june 30 2021 globe newswire shaw communications inc. shaw announced today that its board of directors has declared monthly dividends of per class b non voting participating share and per class a participating share payable on each of september 29 2021 october 28 2021 and november 29 2021 to holders of record at the close of business on september 15 2021 october 15 2021 and november 15 2021 respectively. shaw s board of directors reviews the applicable dividend rates on a quarterly basis. shareholders will not be entitled to receive a particular dividend unless they are holders of record on the applicable record date. there is no entitlement to any dividend prior to such date. about shaw communications inc. shaw communications inc. is a leading canadian connectivity company. the wireline division consists of consumer and business services. consumer serves residential customers with broadband internet shaw go wifi video and digital phone. business provides business customers with internet data wifi digital phone and video services. the wireless division provides wireless voice and lte data services. shaw is traded on the toronto and new york stock exchanges and is included in the s p tsx 60 index symbol tsx nyse sjr and tsxv . for more information please visit for further information please contact shaw investor relations . """
health,"bridgeport correctional center . brian a. pounds hearst connecticut media file . unions representing workers at connecticut s prisons want state lawmakers to pay them what is being called heroes pay because of the level of exposure they had to covid 19. sal luciano president of the connecticut afl cio said this is for workers at all of the prisons whether they come in direct contact with inmates or not. for every hour department of correction employees have worked since the start of the pandemic luciano said 1 should be added to their paycheck. if you worked 20 hours in a week an additional 20 should be added he said. if you worked 60 hours you should get an additional 60. luciano and the others who participated in the virtual press conference monday urged lawmakers to take up the issue in the legislative special session. ginny ligi is a corrections officer at the cheshire correctional institution who contracted covid 19 and was out of work for about three weeks. she also is a member of afscme local 387 . we deserve to be treated as heroes not zeros ligi said. during the covid 19 crisis corrections facilities became a petri dish for infection. corrections employees like myself had a one in four chance of contracting covid. she said many corrections employees continue to suffer from long term health impacts and will never be the same. millie brown is the president of the corrections supervisors union that is part of csea seiu local 200. brown said the sacrifices our members took can not be repaid. but ligi said pandemic pay signifies more than just compensation. it is an affirmation of our importance and value as workers she said. debbie williams works as an identification records specialist at the bridgeport correctional center. and though williams works in a clerical position covid doesn t differentiate between workers on the front lines and those who work in the office. funds for the proposed lump sum payments to essential workers would come from federal american rescue plan resources allocated to the state. a total of 19 prisoners have died from covid 19 since the start of the pandemic according to state doc officials. a total of 4546 inmates have tested positive for covid 19 4495 of them have recovered. none of the staff at any of the prisons have died from covid 19 but 1690 have tested positive for the virus. all but four have returned to work according to doc officials. among inmates 4828 have received one dose of the vaccine according to andrius banevicius a doc spokesman. a total of 2697 corrections staffers have received one dose of the vaccine although banevicius said it is likely that additional staff members have received the vaccine outside of work. """
arts,"residents walk along a dirt road in the urus del lago poopo indigenous community which sits along the salt crusted former shoreline of lake poopo in punaca bolivia monday may 24 2021. bolivia s second largest lake dried up about five years ago victim of shrinking glaciers water diversions for farming and contamination. juan karita ap 2 21 residents walk past a cement post decorated with a smiley face and a message that reads in uru i m happy in the urus del lago poopo indigenous community in punaca bolivia monday may 24 2021. none of the inhabitants speak uru the language of their ancestors. however in the past few years they have decided to recover their native language. 3 21 4 21 rufino choque the mayor of the urus del lago poopo indigenous community waits for the arrival of instructors in punaca bolivia monday may 24 2021. lago poopo bolivia s second largest lake gave life to a rich culture since the first men set foot on the altiplano but it dried up about five years ago. we are ancient but we have no territory. now we have no source of work nothing said choque. juan karita ap 5 21 jose choque stands next to his work that he wrote on a dry erase board during a uru language lesson in a classroom in the urus del lago poopo indigenous community in punaca bolivia monday may 24 2021. the last native speakers gradually died and younger generations grew up schooled in spanish and working in other more common indigenous languages aymara and quechua. to save their identities the urus are trying to revive their native language. 6 21 7 21 instructor marina vasquez and student jose choque go over his homework at the local school in the urus del lago poopo indigenous community in punaca bolivia monday may 24 2021. aided by the government and a local foundation community elders have invited teachers from a related branch of the uru to teach their native tongue one of 36 officially recognized bolivian languages to their children. juan karita ap 8 21 abelina choque writes on a dry erase board the uru word for thanks during an uru language lesson at the local school in the urus del lago poopo indigenous community in punaca bolivia monday may 24 2021. this culture uru is in extinction so it needs support from the authorities of the municipality of the government of the national authorities to survive to preserve the culture its cultural heritage says wilson alvarez ticona director of the uru murato school. 9 21 10 21 abelina choque stands inside her classroom next to her work left she wrote out on a dry erase board during an uru language lesson in the urus del lago poopo indigenous community in punaca bolivia monday may 24 2021. the instructors teach us the language with numbers songs and greetings said choque a 21 year old student who said she one day would like to teach mathematics. it s a little difficult to pronounce. juan karita ap 11 21 members of the choque family from left jose evarista flores rufino abelina and abdon pose for a photo in the urus del lago poopo indigenous community in punaca bolivia sunday may 23 2021. with no land for farming the young men hire themselves out as laborers herders or miners in nearby towns or more distant cities. they see the money and they do n t return said abdon. 12 21 13 21 a resident removes her dried laundry from a clothesline in the urus del lago poopo indigenous community in punaca bolivia sunday may 23 2021. our grandfathers thought the lake would last all their lives and now my people are near extinction because our source of life has been lost said luis valero leader of the uru communities around the lake. juan karita ap 14 21 a stuffed flamingo hangs in the home of mayor rufino choque in the urus del lago poopo indigenous community in punaca bolivia sunday may 23 2021. for many generations the homeland of the uru was n t land at all it was the brackish waters of lake poopo. choque said the uru people of the water began settling on the lakeshore several decades ago as the lake began to shrink. 15 21 16 21 handmade dolls depicting an uru family lay on a woven textile in the home of evarista flores in the urus del lago poopo indigenous community in punaca bolivia monday may 24 2021. for many generations the uru people of the water would build a sort of family island of reeds when they married and would survive on what they could harvest from the broad shallow lake in the highlands of southwestern bolivia. juan karita ap 17 21 sweaters hang on a clothing line as the sun sets in in the urus del lago poopo indigenous community in punaca bolivia sunday may 23 2021. since the lake dried up about five years ago the uru people of the water are left clinging to its salt crusted former shoreline scrabbling for ways to make a living. 18 21 19 21 a feather is caught in a blade of straw in the entrance of a home in the urus del lago poopo indigenous community in punaca bolivia sunday may 23 2021. to save their identities the uru communities are trying to revive their native language or at least its closest sibling. the last native speakers gradually died and younger generations grew up schooled in spanish and working in other more common indigenous languages aymara and quechua. juan karita ap 20 21 mayor rufino choque is silhouetted against a sunset sky in the urus del lago poopo indigenous community in punaca bolivia sunday may 23 2021. our grandfathers thought the lake would last all their lives and now my people are near extinction because our source of life has been lost said luis valero leader of the uru communities around lake poopo bolivia s second largest lake that dried up about five years ago. punaca tinta maria bolivia ap for many generations the homeland of the uru people here was n t land at all it was the brackish waters of lake poopo. the uru people of the water would build a sort of family island of reeds when they married and would survive on what they could harvest from the broad shallow lake in the highlands of southwestern bolivia. they collected eggs fished hunted flamingos and birds. when they fell in love the couple built their own raft said abd n choque leader of punaca a town of some 180 people. now what was bolivia s second largest lake is gone. it dried up about five years ago victim of shrinking glaciers water diversions for farming and contamination. ponds reappear in places during the rainy season. and the uru of lake poopo are left clinging to its salt crusted former shoreline in three small settlements 635 people scrabbling for ways to make a living and struggling to save even their culture. our grandfathers thought the lake would last all their lives and now my people are near extinction because our source of life has been lost said luis valero leader of the uru communities around the lake. not long before the lake was lost the language of the uru cholo had perished as well. the last native speakers gradually died and younger generations grew up schooled in spanish and working in other more common indigenous languages aymara and quechua. to save their identities the communities are trying to revive that language or at least its closest sibling. aided by the government and a local foundation they have invited teachers from a related branch of the uru the uru chipaya near the chilean border to the west to teach that tongue one of 36 officially recognized bolivian languages to their children. but we are making efforts to maintain our culture valero said. our children have to recover the language to distinguish us from our neighbors. the instructors teach us the language with numbers songs and greetings said avelina choque a 21 year old student who said she one day would like to teach mathematics. it s a little difficult to pronounce. the pandemic has added to that struggle. the teachers have been unable to hold in person classes during the pandemic leaving students to learn from texts videos and radio programs.punaca mayor ruben choque said the uru began settling on the lakeshore several decades ago as the lake began to shrink though by then most of the lands around them had been occupied. """
sport,"cif city section championship. san pedro the fourth seed in the open division playoffs will host no. 11 el camino real saturday at 11 the pirates 16 8 have yet to allow a run in the playoffs shutting out banning 14 0 and birmingham 7 0 . ecr defeated san pedro 9 8 in the 2010 championship game. city section track and field championships . wednesday the boys city section track and field championships took place at birmingham high . here are some local highlights carson s marcus hughes finished fourth in the 1600 invitational 4 and eighth in the 3200 invitational 10 . carson s jaden jones finished first in the 100 invitational and lavelle sowell was second in the 100 championship . san pedro s burrell adams posted a third place finish in the 200 invitational and his teammate tyler barnes was sixth . the girls championships took place thursday evening. todd butler rejoins west torrance football staff . before taking the football coaching job at st. pius x st. matthias academy in 2015 todd butler spent time at redondo and west torrance as an assistant coach. earlier this week it was announced that butler had stepped down as coach at st. pius x and will be returning to west as co head coach working with current coach greg holt. """
health,"australia post ap told workers on may 26 it would not seek an extension of temporary regulatory relief measures exempting the government owned postal service from its obligation to provide daily letter delivery throughout the country. the announcement means an official end to the alternative delivery model adm on june 30 which the communications electrical plumbers union cepu has heralded as a victory for ap workers. the union declared members have won this incredible achievement off the back of a dedicated campaign within our communities and in our parliament. in fact postal workers have won nothing. the announcement is a clear indication of ap s confidence that the union will continue to work closely with management to ram through permanent restructuring as part of negotiations for the next enterprise agreement ea . the cepu s claim that the end of the adm represents an incredibly positive step should be seen for what it is an attempt to blind workers to the attacks being prepared by management and the union. the union has provided virtually no information to justify its assertions of victory. postal workers must demand full details of what the cepu officials have been discussing with management what ap has been pushing for in the new agreement and what the union has already agreed to. workers should insist that they will not vote on any agreement without these details and its full text. this is all the more necessary given the scale of the changes that have been introduced under the adm initiated in april 2020. some 2000 posties were transferred to the company s lucrative parcel delivery section where they had to cover four beats and 2000 more became floaters who could be shunted to any area of the business by management. postal workers now routinely face 12 hour days and in the manner of the gig economy van drivers are subject to disciplinary action if they fail to deliver items in the precise order prescribed by an electronic optimiser. the cepu has given no indication of how these arrangements which are already in place are to be wound back or what is to replace them. it has not stated that it is fighting for an increase in staffing an essential precondition for an end to gruelling overtime which postal workers must demand. nor has it said anything about the prospect of redundancies even though thousands were threatened last year. the adm was not a response to the covid 19 pandemic as claimed by management and the union but was in reality one step in a process of restructuring conceived well before the pandemic broke out. the central aim of these moves recommended in a 2019 boston consulting group review commissioned by the federal government is to drastically reduce costs in ap s declining letter delivery business and prepare the lucrative parcel delivery division for privatisation. the recent senate inquiry has made clear that while ousted ceo christine holgate and ap board members disagreed over the precise details of the restructure there is no section of the company s management or the australian ruling class as a whole that opposes the eventual privatisation of ap in one form or another. over the past 12 months the union has demonstrated its full agreement with this agenda enforcing the adm in the face of widespread opposition. behind the backs of workers the union signed a memorandum of understanding last july assuring management that it would enforce the restructure and that no industrial action would be carried out for 12 months. the recent announcement has changed nothing. the union has made clear that a new delivery model will be a central component of the next ea writing in our view eba10 can simply not be finalised without this forming part of the overall eba10 package. the union wrote on may 26 a future delivery model means a new way forward great. but what is critically important at this stage is determining what kind of role our members can and should play in that important process. there is nothing great for postal workers about a different delivery model that will inevitably bring cuts to jobs and conditions. any new or revised delivery model hatched between ap management and the union will be great only for the profits and future privatisation of ap. on june 10 the cepu told workers it was seeking to put members in the driver s seat in determining how any new model would be developed and implemented. accepting the restructuring as an inevitability and providing no details about how workers would be involved in its implementation the union said there were just a few outstanding matters of contention. it was overly confident that agreement could be reached so that we can bury adm once and for all. the reality is the adm was implemented with the support of the union while workers were simply forced to accept it. this must be a warning to workers the door has been well and truly opened for the process of restructuring and ultimate privatisation to proceed. the june 10 update advanced no demands but outlined several meagre principles that the new model must address. the principles are one run per postie delivering five days per week the ongoing maintenance of traditional take home pay components restoring entitlements and benefits lost across all workforce areas impacted by the temporary reform and covid 19 changes sufficient resourcing modelled around quality permanent jobs and where that work offering can efficiently be modelled around full time employment this should always be the preferred method of engagement. given the union s track record workers would be making a grave mistake to think that the cepu officials have any great commitment to these principles. and even still the final principle shows that the cepu has no intention of opposing the increased use of casual and contract labour as long as management deems it more efficient than providing secure full time employment. nothing will be resolved in negotiations with management over the next ea. the union continues to fully support restructuring albeit within the framework of the enterprise bargaining process. when the adm was first announced last year management declared that failure to accept would result in mass job cuts. the company s calculations have not changed in the interim meaning that any deal struck by the union will allow for job destruction cost cutting through the erosion of conditions or both. workers should place no confidence in the cepu and instead fight to build the postal workers rank and file committee pwrfc . the pwrfc calls on the union to make public all details of discussions with ap management. workers have a right to know the details of the negotiations and what delivery models are being discussed between ap management and the union. in april the pwrfc wrote the following . in order to fight this ongoing offensive the postal workers rank and file committee calls on postal workers to reject the entire enterprise bargaining straitjacket and anti strike laws that the unions have enforced against the working class since the unions accords with the hawke and keating labor governments in the 1980s and 1990s. we urge our fellow workers to join the rank and file committee which is completely independent of the cepu to advance the demands needed to defend the jobs and basic rights of postal workers. the immediate ending of the adm and all attempts to impose a new version of it. the government s boston consulting group secret report and its recommendations must be made fully public. all fixed term contract workers and casuals must be given full time positions. increase full time staff to deal with extra parcels and reduce the workload on existing staff. recast beats on the basis of finishing within rostered hours. rank and file committees must be established to plan and control the organisation of beats and other aspects of production. 10 percent wage increases per year with absolutely no trade offs. postal workers must receive a living wage to meet the escalating cost of living. all statistical information about the level of accidents and mental health issues as a result of the adm to be reported to the workers. rank and file committees must be elected independent of management and the unions to organise and fight for the protection of workers health and safety. these committees will give regular reports to the workers and make the necessary recommendations. workers whose health has been affected must be paid their full wage including overtime until they make a full recovery and can carry out their regular duties with no management harassment. stop the surveillance of postal workers and end the ban on public comments by australia post staff to expose management practices. australia post must be transformed into a genuine public utility under real public ownership and the democratic control of the working class to meet the needs of society including the basic social right to a secure and affordable postal service. we call on workers to build and expand our committee to discuss and prepare for the full mobilisation of all postal workers in a campaign of mass industrial and political action to fight for these and other agreed demands. contact the postal workers rank and file committee at """
lifestyle,"news feed neighbor posts calendar . cleveland heights oh . middleburg heights berea oh . mayfield hillcrest oh . week two of the 1 million lottery giveaway saw more than 450000 more ohioans register for a chance to win. ohio ohio s second vax a million lottery winner was selected monday and will be announced wednesday. an additional 28518 students registered for a chance at a college scholarship the ohio department of health and ohio lottery announced tuesday. lottery winners are selected using a random number generator. a representative from the ohio auditor of state s office observes the selection of the winner. read more vax a million winner is shaker heights graduate . if you miss the deadline for the second lottery you ll have three more weeks to get vaccinated and registered for the contest. additional drawings will be held every week for three weeks. once you enter your entry will be carried over through all the drawings. you do not need to submit your name each week. the entry list will be reviewed and all duplicate entries will be removed prior to each week s drawing. in addition any winner will be removed from the eligible draw list for subsequent drawings the ohio department of health said. the lottery is an opt in program meaning vaccinated residents are not automatically entered into the contest. instead residents must register online at those without internet access can also enter by phone at 1 833 4 ask odh 1 833 427 5634 . vax a million lottery 450000 more ohioans register . """
disaster,"on the very first day delhi metro rail services resumed its operations after nearly a month of complete suspension due to the raging second wave of covid 19 pandemic commuters on monday were seen breaking norms put in place. during metro rides from east delhi s nirman vihar metro station to rajiv chowk in the bule line and from rajiv chowk to ina market yellow line despite regular announcements at metro stations that standing passengers were now allowed rules were not followed. complying with delhi disaster management authority s ddma guidelines on covid appropriate behaviour the delhi metro rail corporation dmrc started its services with 50 per cent seating capacity. the government on saturday announced that no passenger will be allowed to stand in metro coaches however many were seen breaking it on monday. delhi has been under strict lockdown due to unprecedented surge in covid cases since april 19. while the metro services were completely suspended on may 10. now as covid cases and daily positivity rate continues to decline the delhi administration has started phase wise unlocking exercise. in the process for the second consecutive week after permitting for construction and manufacturing factories since may 31 ddma in its order issued on saturday has allowed to open markets and malls in delhi on alternate day odd even basis which will be decided on the basis of shop s number. apart from all these government and private offices will also reopen and to ensure covid appropriate behaviour delhi police personnel have been deployed outside metro stations. umed singh a police official deployed at connaught place said we have been directed to ensure that people do not assemble at one place and follow covid guidelines. we have to make video of public movement. """
